 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,7.800,255.000,0.000,255,255,18.876,255
2,8.579,251.462,29.843,0,255,24.614,255
3,9.686,255.000,0.000,255,255,21.150,255
4,11.600,211.125,96.283,0,255,19.754,255
5,19.062,236.751,65.747,0,255,32.060,255
6,26.194,209.098,97.986,0,255,45.402,255
7,18.860,233.833,70.371,0,255,27.030,255
8,15.445,216.758,91.073,0,255,19.259,255
9,24.262,181.675,115.440,0,255,27.598,255
10,10.163,255.000,0.000,255,255,38.739,255
11,17.414,180.189,116.134,0,255,17.108,255
12,11.398,215.880,91.935,0,255,15.984,255
13,20.362,203.060,102.722,0,255,23.693,255
14,8.478,250.594,33.246,0,255,16.833,255
15,6.427,213.590,94.114,0,255,14.252,255
16,11.096,219.653,88.150,0,255,15.820,255
17,9.210,255.000,0.000,255,255,35.551,255
18,1.511,255.000,0.000,255,255,9.114,255
19,8.194,249.302,37.712,0,255,17.229,255
20,7.150,255.000,0.000,255,255,19.992,255
21,3.058,244.311,51.178,0,255,10.066,255
22,0.998,255.000,0.000,255,255,5.894,255
23,11.627,248.575,39.980,0,255,31.901,255
24,18.430,205.089,101.199,0,255,32.023,255
25,6.848,243.409,53.152,0,255,17.543,255
26,7.462,255.000,0.000,255,255,13.450,255
27,15.555,233.237,71.266,0,255,49.374,255
28,3.296,255.000,0.000,255,255,13.035,255
29,10.419,250.070,35.126,0,255,29.004,255
30,16.388,215.682,92.114,0,255,19.754,255
31,10.941,250.519,33.520,0,255,15.592,255
32,8.487,225.566,81.526,0,255,16.305,255
33,9.467,247.108,44.181,0,255,27.552,255
34,1.849,253.738,17.942,0,255,7.247,255
35,3.671,255.000,0.000,255,255,9.926,255
36,2.353,255.000,0.000,255,255,15.190,255
37,6.125,248.139,41.292,0,255,17.057,255
38,11.984,255.000,0.000,255,255,23.231,255
39,12.177,241.387,57.345,0,255,26.922,255
40,1.666,255.000,0.000,255,255,6.907,255
41,2.380,255.000,0.000,255,255,7.234,255
42,1.254,255.000,0.000,255,255,6.594,255
43,9.412,250.783,32.536,0,255,32.742,255
44,13.449,251.528,29.561,0,255,26.036,255
45,6.647,255.000,0.000,255,255,17.639,255
46,17.469,247.783,42.299,0,255,25.209,255
47,3.626,201.553,103.921,0,255,8.755,255
48,23.081,238.007,63.609,0,255,38.236,255
49,11.179,221.585,86.084,0,255,14.183,255
50,1.868,255.000,0.000,255,255,6.659,255
51,2.289,255.000,0.000,255,255,8.181,255
52,23.557,171.553,119.671,0,255,34.063,255
53,16.709,228.452,77.899,0,255,24.384,255
54,19.043,181.320,115.612,0,255,29.512,255
55,29.645,137.817,127.102,0,255,28.654,255
56,11.591,249.562,36.855,0,255,26.736,255
57,19.528,252.489,25.183,0,255,40.567,255
58,19.931,227.942,78.552,0,255,21.946,255
59,18.997,236.320,66.457,0,255,22.545,255
60,11.792,246.091,46.842,0,255,32.396,255
61,18.531,218.589,89.235,0,255,29.064,255
62,1.227,255.000,0.000,255,255,6.412,255
63,2.673,255.000,0.000,255,255,9.973,255
64,2.408,255.000,0.000,255,255,12.310,255
65,2.573,255.000,0.000,255,255,15.265,255
66,10.877,255.000,0.000,255,255,30.278,255
67,13.211,236.798,65.674,0,255,20.226,255
68,2.985,255.000,0.000,255,255,9.949,255
69,4.880,242.561,54.981,0,255,18.840,255
70,20.682,220.120,87.643,0,255,21.271,255
71,3.598,255.000,0.000,255,255,13.384,255
72,28.803,171.594,119.652,0,255,25.654,255
73,1.245,255.000,0.000,255,255,6.580,255
74,1.758,255.000,0.000,255,255,9.474,255
