 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,14.191,172.048,119.473,0,255,19.333,255
2,13.711,175.897,117.966,0,255,14.761,255
3,21.627,153.150,124.899,0,255,25.745,255
4,22.812,148.922,125.693,0,255,21.673,255
5,16.983,176.440,117.740,0,255,23.257,255
6,19.914,154.610,124.591,0,255,19.744,255
7,10.732,191.376,110.356,0,255,14.988,255
8,22.313,162.712,122.547,0,255,22.778,255
9,14.639,157.757,123.867,0,255,18.874,255
10,14.450,180.992,115.745,0,255,18.739,255
11,13.206,204.320,101.768,0,255,27.504,255
12,18.606,151.015,125.320,0,255,17.279,255
13,20.237,201.913,103.538,0,255,28.262,255
14,9.906,214.714,93.015,0,255,18.852,255
15,12.460,246.005,47.046,0,255,33.840,255
16,17.421,180.651,115.900,0,255,26.664,255
17,12.057,247.141,44.076,0,255,32.492,255
18,20.434,147.600,125.912,0,255,20.104,255
19,12.732,157.312,123.976,0,255,14.575,255
20,12.821,177.926,117.114,0,255,18.369,255
21,17.491,149.000,125.682,0,255,17.069,255
22,29.202,131.524,127.441,0,255,22.425,255
23,13.756,215.675,92.101,0,255,18.982,255
24,16.291,185.201,113.704,0,255,22.942,255
25,28.728,123.400,127.439,0,255,28.538,0
26,14.454,150.483,125.421,0,255,15.056,255
27,18.374,178.762,116.748,0,255,21.745,255
28,10.588,252.289,26.153,0,255,44.996,255
29,25.600,135.516,127.253,0,255,22.306,255
30,10.360,184.338,114.142,0,255,14.130,255
31,13.987,186.208,113.188,0,255,17.904,255
32,20.755,135.223,127.272,0,255,21.459,255
33,26.269,150.329,125.445,0,255,27.779,255
34,13.567,157.295,123.980,0,255,15.497,255
35,19.744,162.056,122.735,0,255,18.970,255
36,14.363,196.716,107.084,0,255,16.986,255
37,12.214,222.460,85.089,0,255,19.111,255
38,15.136,141.488,126.739,0,255,16.288,255
39,13.773,169.646,120.342,0,255,16.676,255
40,11.836,242.877,54.268,0,255,39.652,255
41,9.517,222.400,85.158,0,255,13.332,255
42,38.517,122.994,127.424,0,255,30.387,0
43,13.575,167.647,121.024,0,255,15.404,255
44,17.397,131.562,127.443,0,255,18.138,255
45,14.282,226.035,80.920,0,255,22.736,255
46,11.165,213.583,94.062,0,255,17.922,255
47,26.409,144.959,126.304,0,255,29.833,255
48,20.844,149.893,125.525,0,255,20.479,255
49,13.395,172.776,119.200,0,255,16.110,255
50,10.830,223.800,83.570,0,255,16.131,255
51,20.222,159.593,123.401,0,255,21.579,255
52,9.377,205.166,101.126,0,255,12.460,255
53,13.928,201.543,103.805,0,255,22.693,255
54,11.955,170.981,119.867,0,255,15.578,255
55,13.006,159.744,123.365,0,255,14.476,255
56,12.514,168.543,120.724,0,255,14.166,255
57,11.881,200.582,104.486,0,255,17.989,255
58,15.807,149.732,125.555,0,255,16.043,255
59,12.919,177.502,117.296,0,255,15.755,255
60,9.207,224.830,82.369,0,255,12.546,255
61,11.169,167.738,120.996,0,255,14.826,255
62,12.906,250.217,34.597,0,255,34.440,255
63,16.136,183.826,114.391,0,255,19.630,255
64,11.955,187.604,112.455,0,255,15.975,255
65,13.898,152.026,125.128,0,255,19.942,255
66,13.433,167.810,120.970,0,255,16.658,255
67,18.844,175.977,117.931,0,255,19.567,255
68,36.317,125.987,127.495,0,255,27.282,0
69,10.953,250.748,32.654,0,255,37.785,255
70,13.543,212.900,94.681,0,255,17.115,255
71,17.342,173.195,119.038,0,255,23.268,255
72,27.452,127.086,127.504,0,255,24.452,0
73,14.767,198.566,105.866,0,255,17.553,255
74,13.208,186.781,112.889,0,255,16.279,255
75,10.399,209.957,97.257,0,255,14.863,255
76,15.539,222.594,84.938,0,255,22.947,255
77,15.393,219.928,87.831,0,255,25.026,255
78,15.023,193.151,109.306,0,255,19.425,255
79,14.355,197.286,106.714,0,255,20.546,255
80,17.251,152.109,125.110,0,255,17.297,255
81,12.520,163.959,122.186,0,255,13.593,255
82,22.897,160.123,123.262,0,255,22.799,255
83,13.752,157.977,123.813,0,255,18.119,255
84,31.499,133.499,127.363,0,255,27.348,255
85,13.785,183.394,114.604,0,255,16.182,255
86,13.327,192.550,109.666,0,255,16.973,255
87,19.035,165.022,121.861,0,255,19.719,255
88,16.703,169.222,120.488,0,255,19.710,255
89,13.085,150.964,125.333,0,255,15.135,255
90,13.444,168.966,120.578,0,255,15.834,255
91,12.342,160.362,123.203,0,255,14.593,255
92,37.921,112.749,126.647,0,255,27.985,0
93,11.373,205.247,101.062,0,255,17.892,255
94,20.568,166.069,121.533,0,255,21.466,255
95,12.178,175.810,118.004,0,255,14.173,255
96,7.666,254.364,12.718,0,255,20.636,255
97,16.714,207.246,99.489,0,255,20.665,255
98,15.028,165.676,121.659,0,255,18.946,255
99,13.066,237.221,64.948,0,255,22.971,255
100,15.975,172.090,119.457,0,255,16.885,255
101,11.688,246.197,46.557,0,255,23.143,255
102,14.939,154.667,124.581,0,255,15.061,255
103,19.941,170.471,120.047,0,255,19.872,255
104,15.820,174.427,118.558,0,255,16.681,255
105,15.554,157.943,123.821,0,255,16.339,255
106,18.081,197.262,106.728,0,255,28.085,255
107,8.876,214.981,92.765,0,255,16.126,255
108,12.887,153.235,124.886,0,255,15.580,255
109,15.811,168.870,120.610,0,255,17.694,255
110,17.451,150.462,125.423,0,255,16.173,255
111,17.816,143.700,126.474,0,255,19.297,255
