 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,0.368,255.000,0.000,255,255,4.058,255
2,0.548,255.000,0.000,255,255,4.000,255
3,0.303,255.000,0.000,255,255,2.875,255
4,0.174,255.000,0.000,255,255,1.959,255
5,1.664,255.000,0.000,255,255,15.415,255
6,1.142,255.000,0.000,255,255,6.573,255
7,1.413,255.000,0.000,255,255,5.042,255
8,0.148,255.000,0.000,255,255,1.391,255
9,0.806,255.000,0.000,255,255,5.061,255
10,0.374,255.000,0.000,255,255,3.150,255
11,0.206,255.000,0.000,255,255,1.712,255
12,0.413,255.000,0.000,255,255,2.668,255
13,1.393,255.000,0.000,255,255,7.482,255
14,0.439,255.000,0.000,255,255,2.554,255
15,2.200,255.000,0.000,255,255,15.224,255
16,0.348,255.000,0.000,255,255,2.233,255
17,1.219,249.603,36.800,0,255,6.565,255
18,1.522,255.000,0.000,255,255,5.069,255
19,1.058,255.000,0.000,255,255,4.199,255
20,0.400,255.000,0.000,255,255,3.283,255
21,0.116,255.000,0.000,255,255,1.712,255
22,0.510,255.000,0.000,255,255,2.895,255
23,1.387,255.000,0.000,255,255,5.496,255
24,0.368,255.000,0.000,255,255,2.629,255
25,0.310,255.000,0.000,255,255,2.327,255
26,0.703,255.000,0.000,255,255,3.529,255
27,0.632,255.000,0.000,255,255,3.150,255
28,0.671,255.000,0.000,255,255,3.576,255
29,1.722,255.000,0.000,255,255,7.149,255
30,0.155,255.000,0.000,255,255,1.438,255
31,0.471,255.000,0.000,255,255,3.310,255
32,0.200,255.000,0.000,255,255,2.119,255
33,0.523,255.000,0.000,255,255,3.236,255
34,0.897,255.000,0.000,255,255,4.956,255
35,1.368,255.000,0.000,255,255,5.089,255
36,0.148,255.000,0.000,255,255,1.504,255
37,1.193,255.000,0.000,255,255,4.928,255
38,0.974,255.000,0.000,255,255,6.981,255
39,0.232,255.000,0.000,255,255,1.845,255
40,0.723,255.000,0.000,255,255,4.908,255
41,1.213,245.505,48.409,0,255,5.316,255
42,0.368,255.000,0.000,255,255,2.488,255
43,0.910,255.000,0.000,255,255,5.033,255
44,0.981,255.000,0.000,255,255,3.859,255
45,0.213,255.000,0.000,255,255,1.778,255
46,0.426,255.000,0.000,255,255,3.236,255
47,0.316,255.000,0.000,255,255,2.856,255
48,0.490,255.000,0.000,255,255,2.895,255
49,1.839,255.000,0.000,255,255,8.344,255
50,0.103,255.000,0.000,255,255,1.277,255
51,2.142,255.000,0.000,255,255,7.357,255
52,0.652,255.000,0.000,255,255,3.236,255
53,0.639,255.000,0.000,255,255,3.557,255
54,0.774,255.000,0.000,255,255,3.812,255
55,0.413,255.000,0.000,255,255,3.451,255
56,0.961,255.000,0.000,255,255,3.870,255
57,0.503,255.000,0.000,255,255,5.410,255
58,0.529,255.000,0.000,255,255,3.604,255
59,0.355,255.000,0.000,255,255,2.233,255
60,0.884,255.000,0.000,255,255,4.939,255
61,0.858,255.000,0.000,255,255,4.266,255
62,1.600,255.000,0.000,255,255,5.837,255
63,0.871,255.000,0.000,255,255,4.172,255
64,0.574,255.000,0.000,255,255,3.330,255
65,0.464,255.000,0.000,255,255,2.687,255
66,2.374,233.519,70.922,0,255,8.285,255
67,1.406,230.436,75.409,0,255,6.111,255
68,0.839,255.000,0.000,255,255,3.623,255
69,1.490,255.000,0.000,255,255,5.645,255
70,0.335,255.000,0.000,255,255,2.299,255
71,0.806,255.000,0.000,255,255,3.416,255
72,0.916,255.000,0.000,255,255,4.058,255
73,1.000,255.000,0.000,255,255,5.343,255
74,0.452,255.000,0.000,255,255,2.460,255
75,1.832,242.430,55.301,0,255,5.429,255
76,0.387,255.000,0.000,255,255,2.327,255
77,0.677,255.000,0.000,255,255,3.490,255
78,1.148,255.000,0.000,255,255,4.352,255
79,1.064,255.000,0.000,255,255,4.834,255
80,0.832,255.000,0.000,255,255,3.812,255
81,1.290,255.000,0.000,255,255,5.543,255
82,0.839,255.000,0.000,255,255,4.352,255
83,0.148,255.000,0.000,255,255,1.618,255
84,1.181,255.000,0.000,255,255,5.288,255
85,1.187,255.000,0.000,255,255,4.532,255
86,0.277,255.000,0.000,255,255,1.892,255
87,1.987,249.205,38.065,0,255,5.751,255
88,2.064,255.000,0.000,255,255,6.272,255
89,2.077,255.000,0.000,255,255,6.319,255
90,2.161,255.000,0.000,255,255,7.623,255
91,1.510,255.000,0.000,255,255,4.881,255
92,1.071,255.000,0.000,255,255,5.124,255
93,1.122,255.000,0.000,255,255,4.172,255
94,0.116,255.000,0.000,255,255,1.297,255
95,0.477,255.000,0.000,255,255,2.914,255
96,1.561,255.000,0.000,255,255,5.562,255
97,0.632,255.000,0.000,255,255,3.122,255
98,0.148,255.000,0.000,255,255,1.344,255
99,1.490,255.000,0.000,255,255,6.205,255
100,0.639,255.000,0.000,255,255,3.443,255
101,0.710,255.000,0.000,255,255,3.557,255
102,0.677,255.000,0.000,255,255,3.765,255
103,0.374,255.000,0.000,255,255,2.280,255
104,0.206,255.000,0.000,255,255,1.618,255
105,1.774,244.800,50.061,0,255,5.468,255
106,1.484,255.000,0.000,255,255,5.449,255
107,0.755,255.000,0.000,255,255,3.529,255
108,1.632,255.000,0.000,255,255,5.676,255
109,1.110,255.000,0.000,255,255,5.704,255
110,0.471,255.000,0.000,255,255,2.668,255
111,1.955,255.000,0.000,255,255,6.244,255
112,1.793,255.000,0.000,255,255,5.997,255
113,1.464,255.000,0.000,255,255,5.590,255
114,1.426,233.077,71.645,0,255,5.069,255
115,2.084,255.000,0.000,255,255,6.158,255
116,1.671,255.000,0.000,255,255,6.726,255
117,0.323,255.000,0.000,255,255,2.809,255
118,0.374,255.000,0.000,255,255,2.327,255
119,3.038,255.000,0.000,255,255,10.385,255
120,3.329,255.000,0.000,255,255,12.908,255
121,1.232,255.000,0.000,255,255,4.427,255
122,0.400,255.000,0.000,255,255,2.346,255
123,1.258,255.000,0.000,255,255,6.111,255
124,1.787,255.000,0.000,255,255,6.914,255
125,0.200,255.000,0.000,255,255,1.665,255
126,1.077,255.000,0.000,255,255,6.934,255
127,0.174,255.000,0.000,255,255,1.684,255
128,4.109,255.000,0.000,255,255,14.106,255
129,2.193,255.000,0.000,255,255,9.335,255
130,0.445,255.000,0.000,255,255,2.942,255
131,0.826,255.000,0.000,255,255,3.925,255
132,2.232,255.000,0.000,255,255,6.091,255
133,2.271,255.000,0.000,255,255,5.790,255
134,0.987,255.000,0.000,255,255,5.089,255
135,0.458,255.000,0.000,255,255,3.055,255
136,0.858,255.000,0.000,255,255,4.078,255
137,1.826,255.000,0.000,255,255,7.255,255
138,2.039,238.861,62.187,0,255,7.094,255
139,0.819,255.000,0.000,255,255,4.199,255
140,2.000,255.000,0.000,255,255,6.083,255
141,1.529,255.000,0.000,255,255,5.476,255
142,1.348,255.000,0.000,255,255,4.399,255
143,1.148,255.000,0.000,255,255,4.654,255
144,0.316,255.000,0.000,255,255,2.668,255
145,0.303,255.000,0.000,255,255,1.939,255
146,2.419,255.000,0.000,255,255,7.255,255
147,0.432,255.000,0.000,255,255,3.216,255
148,1.400,255.000,0.000,255,255,4.607,255
149,0.529,255.000,0.000,255,255,2.676,255
150,0.832,255.000,0.000,255,255,3.377,255
151,0.368,255.000,0.000,255,255,2.260,255
152,0.174,255.000,0.000,255,255,1.618,255
153,0.135,255.000,0.000,255,255,1.230,255
