 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,1.767,255.000,0.000,255,255,8.706,255
2,2.376,221.763,85.945,0,255,9.946,255
3,5.265,213.443,94.227,0,255,12.632,255
4,2.193,255.000,0.000,255,255,9.407,255
5,0.990,255.000,0.000,255,255,7.468,255
6,3.326,253.832,17.231,0,255,19.920,255
7,2.219,255.000,0.000,255,255,13.991,255
8,7.215,211.393,96.045,0,255,17.394,255
9,2.244,252.115,26.998,0,255,13.310,255
10,2.407,246.392,46.101,0,255,8.107,255
11,3.447,255.000,0.000,255,255,17.355,255
12,1.498,255.000,0.000,255,255,5.119,255
13,1.736,255.000,0.000,255,255,7.709,255
14,4.473,252.684,24.203,0,255,12.263,255
15,4.397,250.583,33.288,0,255,13.907,255
16,2.503,255.000,0.000,255,255,10.061,255
17,4.762,226.999,79.768,0,255,12.705,255
18,5.148,251.731,28.702,0,255,21.619,255
19,2.462,252.897,23.086,0,255,8.893,255
20,4.173,251.588,29.318,0,255,10.051,255
21,5.275,249.355,37.536,0,255,11.663,255
22,1.173,255.000,0.000,255,255,9.029,255
23,2.574,255.000,0.000,255,255,11.489,255
24,4.940,237.703,64.154,0,255,11.993,255
25,5.559,243.589,52.746,0,255,25.251,255
26,2.097,255.000,0.000,255,255,10.707,255
27,2.787,251.749,28.636,0,255,8.122,255
28,7.423,186.977,112.816,0,255,15.221,255
29,4.412,255.000,0.000,255,255,13.855,255
30,1.000,255.000,0.000,255,255,6.134,255
31,6.631,254.805,7.056,0,255,22.380,255
32,3.747,148.923,125.773,0,255,8.417,255
33,1.858,255.000,0.000,255,255,6.311,255
34,8.687,255.000,0.000,255,255,13.727,255
35,4.630,205.230,101.121,0,255,12.052,255
36,3.056,248.646,39.780,0,255,16.049,255
37,4.260,251.049,31.514,0,255,9.011,255
38,2.300,255.000,0.000,255,255,8.893,255
39,2.457,251.839,28.244,0,255,6.797,255
40,8.524,149.750,125.581,0,255,17.765,255
41,4.331,221.219,86.497,0,255,11.548,255
42,3.407,255.000,0.000,255,255,12.604,255
43,2.148,255.000,0.000,255,255,7.704,255
44,6.189,198.519,105.933,0,255,14.401,255
45,3.559,249.544,36.927,0,255,10.742,255
46,1.640,255.000,0.000,255,255,6.561,255
47,5.600,238.586,62.608,0,255,14.037,255
48,1.909,255.000,0.000,255,255,7.726,255
49,3.894,255.000,0.000,255,255,11.843,255
50,6.869,247.650,42.681,0,255,16.052,255
51,3.650,255.000,0.000,255,255,8.208,255
52,7.509,218.793,89.035,0,255,12.334,255
53,4.646,255.000,0.000,255,255,9.532,255
54,4.092,205.962,100.561,0,255,9.613,255
55,3.544,255.000,0.000,255,255,9.584,255
56,2.706,255.000,0.000,255,255,7.726,255
57,7.336,206.824,99.855,0,255,12.514,255
58,5.955,213.043,94.584,0,255,11.715,255
59,8.073,240.566,58.945,0,255,21.286,255
60,6.544,245.504,48.302,0,255,26.999,255
61,4.762,255.000,0.000,255,255,14.300,255
62,2.747,255.000,0.000,255,255,8.014,255
63,2.021,255.000,0.000,255,255,7.308,255
64,3.270,241.933,56.269,0,255,10.054,255
65,5.275,186.280,113.197,0,255,9.011,255
66,5.138,246.181,46.618,0,255,12.243,255
67,2.234,255.000,0.000,255,255,6.812,255
68,4.341,178.053,117.118,0,255,8.528,255
69,2.386,249.574,36.837,0,255,7.527,255
70,6.727,237.872,63.855,0,255,11.145,255
71,1.650,255.000,0.000,255,255,7.065,255
72,2.955,255.000,0.000,255,255,15.455,255
73,3.950,213.374,94.304,0,255,8.744,255
74,3.432,245.570,48.159,0,255,9.442,255
75,6.032,244.268,51.223,0,255,18.505,255
76,6.732,225.577,81.500,0,255,11.739,255
77,1.711,253.487,19.615,0,255,5.345,255
78,2.005,253.063,22.167,0,255,7.645,255
79,5.184,206.548,100.088,0,255,10.238,255
80,2.579,255.000,0.000,255,255,6.679,255
81,3.803,253.979,16.117,0,255,8.424,255
