 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,6.913,254.713,8.557,0,255,37.138,255
2,6.361,252.503,25.125,0,255,33.264,255
3,9.669,238.370,62.987,0,255,39.423,255
4,9.685,235.936,67.092,0,255,20.170,255
5,6.641,229.590,76.425,0,255,17.145,255
6,2.624,248.190,41.173,0,255,10.207,255
7,1.121,255.000,0.000,255,255,8.417,255
8,4.889,167.293,121.228,0,255,13.061,255
9,5.605,253.229,21.191,0,255,11.391,255
10,6.999,232.875,71.819,0,255,14.072,255
11,6.143,234.639,69.164,0,255,16.056,255
12,1.565,255.000,0.000,255,255,5.758,255
13,7.949,255.000,0.000,255,255,36.548,255
14,11.958,228.438,77.922,0,255,46.484,255
15,8.984,197.990,106.289,0,255,21.517,255
16,4.290,255.000,0.000,255,255,18.521,255
17,11.483,192.936,109.465,0,255,17.717,255
18,2.974,255.000,0.000,255,255,12.562,255
19,2.009,242.151,55.888,0,255,5.715,255
20,8.198,251.368,30.232,0,255,18.246,255
21,1.067,255.000,0.000,255,255,5.581,255
22,5.963,255.000,0.000,255,255,18.840,255
23,9.677,251.512,29.629,0,255,21.168,255
24,4.438,255.000,0.000,255,255,14.829,255
25,14.987,201.351,103.961,0,255,25.407,255
26,13.834,207.501,99.305,0,255,28.742,255
27,7.738,214.723,93.043,0,255,14.601,255
28,6.820,215.702,92.121,0,255,14.661,255
29,6.929,239.528,60.911,0,255,11.253,255
30,5.201,231.714,73.510,0,255,12.515,255
31,9.342,238.850,62.134,0,255,18.444,255
32,11.763,254.494,11.355,0,255,32.330,255
33,6.796,250.911,32.051,0,255,24.753,255
34,10.884,255.000,0.000,255,255,25.303,255
35,7.824,234.194,69.839,0,255,32.869,255
36,5.582,255.000,0.000,255,255,11.223,255
37,11.950,230.248,75.518,0,255,26.371,255
38,17.205,200.077,104.851,0,255,21.095,255
39,1.152,255.000,0.000,255,255,6.890,255
40,13.422,253.669,18.382,0,255,45.516,255
41,10.744,242.435,55.213,0,255,16.129,255
42,0.997,255.000,0.000,255,255,4.833,255
43,9.731,195.228,108.067,0,255,17.015,255
44,6.096,252.069,27.199,0,255,16.232,255
45,19.043,199.434,105.292,0,255,28.815,255
46,14.582,248.601,39.895,0,255,18.036,255
47,7.692,248.548,40.067,0,255,15.342,255
48,12.160,243.246,53.488,0,255,21.152,255
49,12.768,234.009,70.107,0,255,26.323,255
50,6.524,255.000,0.000,255,255,23.399,255
51,6.376,255.000,0.000,255,255,24.589,255
52,9.202,244.213,51.347,0,255,15.888,255
53,15.952,252.635,24.447,0,255,40.138,255
54,14.636,222.854,84.662,0,255,25.683,255
55,7.559,203.265,102.600,0,255,12.407,255
56,10.035,249.065,38.462,0,255,20.041,255
57,8.097,255.000,0.000,255,255,13.375,255
58,3.791,255.000,0.000,255,255,12.553,255
59,27.575,227.859,78.652,0,255,30.476,255
60,31.966,243.635,52.627,0,255,44.519,255
61,8.657,255.000,0.000,255,255,13.070,255
62,18.832,255.000,0.000,255,255,34.729,255
63,9.833,223.907,83.471,0,255,18.663,255
64,2.250,253.235,21.176,0,255,10.431,255
65,5.053,255.000,0.000,255,255,21.487,255
66,10.035,255.000,0.000,255,255,17.519,255
67,20.615,194.332,108.601,0,255,31.970,255
68,16.458,229.789,76.130,0,255,30.519,255
69,10.814,152.559,125.058,0,255,14.692,255
70,11.156,228.486,77.861,0,255,18.048,255
71,31.982,194.292,108.619,0,255,30.704,255
72,9.591,255.000,0.000,255,255,14.132,255
73,13.749,199.841,105.020,0,255,21.797,255
74,3.106,255.000,0.000,255,255,7.449,255
75,5.574,215.112,92.695,0,255,10.161,255
76,10.167,227.860,78.669,0,255,16.137,255
77,15.181,245.062,49.364,0,255,22.232,255
78,7.886,250.972,31.809,0,255,15.931,255
79,8.439,247.002,44.468,0,255,12.790,255
80,9.825,255.000,0.000,255,255,27.829,255
81,13.577,255.000,0.000,255,255,21.022,255
