 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,0.728,192.945,21.791,148,225,5.167,199
2,2.009,175.353,16.203,140,212,8.055,175
3,0.216,195.500,27.442,149,233,1.734,198
4,0.574,194.694,23.027,150,227,4.292,199
5,0.981,180.657,20.036,148,222,6.104,181
6,1.401,174.496,15.432,144,210,6.476,174
7,1.262,183.868,29.586,75,225,4.612,193
8,0.108,174.714,15.697,148,202,1.563,174
9,0.676,179.397,18.800,148,219,5.842,179
10,0.731,199.426,22.376,148,232,4.370,206
11,0.596,188.321,20.779,148,236,4.885,187
12,1.179,190.652,25.986,148,238,8.448,193
13,1.003,195.394,18.771,148,224,5.115,201
14,0.136,185.227,23.206,148,227,1.878,186
15,0.957,189.771,18.050,148,219,5.378,193
16,0.386,182.976,18.695,148,217,3.723,186
17,0.139,180.444,22.111,148,222,1.720,176
18,0.333,193.815,23.855,149,236,2.793,199
19,0.744,197.141,21.668,148,233,4.083,202
20,0.438,192.951,23.773,150,233,3.108,190
21,0.198,176.844,18.484,149,214,1.813,176
22,1.247,183.953,17.630,148,228,7.922,184
23,0.309,188.240,25.695,148,238,3.612,190
24,0.707,202.127,27.983,148,242,4.931,207
25,0.633,209.366,24.351,149,247,3.454,215
26,0.417,171.941,14.948,148,208,3.370,170
27,0.602,201.662,29.820,148,249,5.077,206
28,1.373,191.764,22.823,148,243,6.725,189
29,0.617,207.930,27.705,148,255,3.658,213
30,0.231,196.867,23.927,149,234,1.813,202
31,0.167,187.148,26.133,148,231,1.544,191
32,0.108,181.171,23.332,148,221,1.558,181
33,0.682,194.262,23.555,148,236,4.888,197
34,0.821,202.263,25.155,149,254,3.709,205
35,1.216,182.561,27.026,102,237,5.430,184
36,0.401,187.438,20.464,148,234,3.750,189
37,0.235,184.039,20.564,149,224,2.525,185
38,2.148,202.305,30.581,114,255,9.597,204
39,0.170,219.236,36.710,149,255,1.544,231
40,0.981,229.805,30.311,148,255,5.029,243
41,0.744,219.639,28.711,150,255,3.539,224
42,0.318,219.243,35.713,149,255,2.414,231
43,0.244,195.329,28.377,151,255,3.297,193
44,1.491,187.880,26.804,138,255,7.695,187
45,0.842,184.879,28.145,130,252,6.196,180
46,0.420,234.757,31.778,148,255,2.474,255
47,0.497,211.919,37.109,148,255,3.945,218
48,0.460,189.940,27.517,148,253,3.232,185
49,0.102,208.909,29.633,158,255,1.276,206
50,0.759,218.724,31.884,148,255,3.885,223
51,0.120,209.154,36.560,151,255,1.276,213
52,0.164,190.925,31.362,150,255,2.067,184
53,1.454,223.036,32.309,148,255,8.329,230
54,0.312,218.307,36.519,148,255,2.951,227
55,0.549,226.270,37.040,148,255,3.043,253
56,0.157,182.745,23.270,150,231,2.211,179
57,0.605,222.709,34.767,148,255,3.939,233
58,0.821,229.932,31.200,148,255,3.788,249
59,0.565,208.951,34.678,148,255,3.742,208
60,0.537,234.264,32.187,151,255,2.931,255
61,1.136,171.334,34.212,85,237,4.305,172
62,0.235,218.763,36.908,150,255,2.035,228
63,0.432,222.521,35.237,148,255,3.173,235
64,1.568,218.376,33.564,143,255,6.614,228
65,0.358,217.060,35.909,149,255,3.793,225
66,0.127,209.439,42.599,148,255,1.263,212
67,1.614,209.113,34.767,148,255,9.331,210
68,0.222,212.028,36.177,148,255,2.270,213
69,0.876,235.687,28.648,151,255,3.728,255
70,0.688,228.309,30.969,148,255,4.037,242
71,1.105,226.318,31.873,148,255,4.907,240
72,1.003,230.166,31.324,148,255,5.161,250
73,0.660,235.449,31.689,149,255,3.631,255
74,1.787,228.411,35.514,129,255,7.806,253
75,0.457,218.250,37.252,150,255,3.945,231
76,4.734,212.167,42.916,78,255,15.462,222
77,0.540,230.166,33.793,148,255,3.043,255
78,0.580,223.952,36.237,149,255,4.194,244
79,1.046,227.029,32.680,149,255,7.248,240
80,0.244,221.937,37.520,149,255,2.094,240
81,2.179,216.118,34.273,124,255,6.928,220
82,1.256,235.673,30.197,149,255,5.286,255
83,0.247,212.113,40.911,148,255,2.918,226
84,1.234,206.213,32.338,148,255,9.415,202
85,1.642,210.066,36.810,108,255,6.803,211
86,0.210,202.088,30.919,148,255,2.330,210
87,0.673,227.477,32.643,150,255,3.376,243
88,0.447,207.041,36.794,140,255,2.807,205
89,0.750,233.391,32.917,148,255,4.023,255
90,2.089,226.266,34.517,113,255,7.018,240
91,0.170,224.545,38.772,148,255,1.498,255
92,0.275,203.034,34.452,148,255,3.094,206
93,0.534,217.809,37.463,148,255,4.023,228
94,0.123,206.500,35.400,149,255,1.433,209
