 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,5.267,213.325,94.365,0,255,14.153,255
2,6.836,226.384,80.537,0,255,11.491,255
3,4.748,255.000,0.000,255,255,10.717,255
4,1.517,255.000,0.000,255,255,5.165,255
5,1.330,255.000,0.000,255,255,7.298,255
6,2.548,251.589,29.345,0,255,8.852,255
7,3.887,255.000,0.000,255,255,12.450,255
8,3.520,237.094,65.235,0,255,10.743,255
9,4.884,255.000,0.000,255,255,11.918,255
10,3.094,238.140,63.451,0,255,8.434,255
11,2.054,253.942,16.426,0,255,6.403,255
12,2.787,237.064,65.307,0,255,6.524,255
13,0.281,255.000,0.000,255,255,1.914,255
14,5.941,255.000,0.000,255,255,13.287,255
15,9.504,226.184,80.769,0,255,17.758,255
16,4.517,247.783,42.328,0,255,10.307,255
17,5.779,250.111,34.996,0,255,10.275,255
18,10.927,252.016,27.432,0,255,24.463,255
19,3.418,255.000,0.000,255,255,8.110,255
20,5.404,243.738,52.434,0,255,11.081,255
21,0.742,255.000,0.000,255,255,6.209,255
22,12.103,249.254,37.859,0,255,28.335,255
23,4.969,255.000,0.000,255,255,15.926,255
24,4.100,255.000,0.000,255,255,16.691,255
25,1.440,255.000,0.000,255,255,9.568,255
26,6.222,247.315,43.626,0,255,10.730,255
27,1.031,255.000,0.000,255,255,6.534,255
28,2.523,255.000,0.000,255,255,10.176,255
29,1.415,255.000,0.000,255,255,9.775,255
30,3.503,210.949,96.515,0,255,9.852,255
31,2.029,244.286,51.268,0,255,5.448,255
32,4.262,245.820,47.552,0,255,9.262,255
33,4.100,255.000,0.000,255,255,12.918,255
34,4.688,255.000,0.000,255,255,12.914,255
35,3.068,254.292,13.440,0,255,10.383,255
36,4.100,249.699,36.421,0,255,16.615,255
37,4.577,255.000,0.000,255,255,10.298,255
38,1.202,255.000,0.000,255,255,5.502,255
39,10.109,234.789,68.915,0,255,16.809,255
40,3.665,255.000,0.000,255,255,15.593,255
41,4.330,255.000,0.000,255,255,9.425,255
42,1.227,255.000,0.000,255,255,5.295,255
43,11.319,234.454,69.431,0,255,21.266,255
44,5.958,254.270,13.630,0,255,20.865,255
45,1.526,255.000,0.000,255,255,6.155,255
46,2.583,216.287,91.656,0,255,6.772,255
47,3.946,223.056,84.503,0,255,9.262,255
48,0.580,255.000,0.000,255,255,4.340,255
49,0.759,255.000,0.000,255,255,6.642,255
50,6.350,250.208,34.650,0,255,13.554,255
51,3.708,255.000,0.000,255,255,21.798,255
52,2.523,255.000,0.000,255,255,7.817,255
53,7.748,240.132,59.785,0,255,12.176,255
54,1.509,230.508,75.350,0,255,5.273,255
55,0.665,255.000,0.000,255,255,3.904,255
56,4.202,246.724,45.233,0,255,12.504,255
57,4.424,216.676,91.213,0,255,8.979,255
58,5.191,253.744,17.868,0,255,10.546,255
59,2.173,255.000,0.000,255,255,8.416,255
60,2.898,255.000,0.000,255,255,10.253,255
61,0.332,255.000,0.000,255,255,3.359,255
62,0.528,255.000,0.000,255,255,2.904,255
63,3.290,249.715,36.375,0,255,12.873,255
64,0.520,255.000,0.000,255,255,4.327,255
65,7.322,247.875,42.048,0,255,21.429,255
66,2.634,255.000,0.000,255,255,11.329,255
67,2.727,255.000,0.000,255,255,11.176,255
68,0.528,255.000,0.000,255,255,2.859,255
69,4.867,255.000,0.000,255,255,12.157,255
70,8.813,233.051,71.555,0,255,14.701,255
71,12.811,234.810,68.876,0,255,18.646,255
72,2.676,248.503,40.245,0,255,6.632,255
73,0.869,255.000,0.000,255,255,4.588,255
74,0.358,255.000,0.000,255,255,2.936,255
75,2.131,252.960,22.762,0,255,7.416,255
76,5.446,236.244,66.618,0,255,20.375,255
77,5.123,245.241,48.962,0,255,9.699,255
78,2.131,255.000,0.000,255,255,7.677,255
79,7.824,214.444,93.308,0,255,12.603,255
80,0.298,255.000,0.000,255,255,2.121,255
81,2.122,255.000,0.000,255,255,7.839,255
82,6.086,254.643,9.543,0,255,12.373,255
83,0.503,255.000,0.000,255,255,6.254,255
84,2.173,255.000,0.000,255,255,9.231,255
85,4.253,255.000,0.000,255,255,10.581,255
86,1.671,255.000,0.000,255,255,7.839,255
87,5.958,248.433,40.419,0,255,11.045,255
88,2.583,255.000,0.000,255,255,8.209,255
89,7.475,232.611,72.207,0,255,23.297,255
90,4.142,255.000,0.000,255,255,10.104,255
91,4.466,217.529,90.370,0,255,11.262,255
92,3.571,251.957,27.722,0,255,8.852,255
93,2.881,255.000,0.000,255,255,9.285,255
94,2.259,255.000,0.000,255,255,12.256,255
95,7.083,231.986,73.113,0,255,20.865,255
96,0.443,255.000,0.000,255,255,3.534,255
97,0.384,255.000,0.000,255,255,3.089,255
98,3.861,255.000,0.000,255,255,13.851,255
99,13.254,219.415,88.391,0,255,19.543,255
